index;Départements;Accident vasculaire cérébral invalidant (ALD1);Insuffisance cardiaque grave, troubles du rythme graves, cardiopathies valvulaires graves, cardiopathies congénitales graves (ALD5);Diabète de type 1 et diabète de type 2 (ALD8);Artériopathies chroniques avec manifestations ischémiques (ALD3);"Estimation
de population
en 2019";Nb de Généralistes en 2019;AGE moyen en 2019 par département
1;1;4260;10080;24290;4420;657000;393;40,32324694
2;2;3680;10260;30020;4740;526100;325;41,74275733
3;3;3360;8140;18530;4030;331300;236;46,35298641
4;4;1420;3740;7280;2020;165200;161;45,8860673
5;5;1230;3410;4960;1530;141800;158;44,89517064
6;6;9770;24570;47250;11100;1079400;1135;44,3635711
7;7;2640;7840;14270;3530;326900;249;44,88575682
8;8;2380;6220;15570;3250;265500;226;42,9264659
9;9;1320;3340;6870;1650;152400;137;46,02801282
10;10;2010;5570;15110;2400;309900;202;42,03882949
11;11;2940;7440;17480;3420;372700;323;45,22971702
12;12;1940;5650;9610;2490;278400;221;46,41227332
13;13;15900;43660;94110;22760;2034500;2117;41,57061259
14;14;5910;14470;28800;6850;691500;612;42,41311633
15;15;1130;3730;5730;1900;142800;128;47,34690392
16;16;2410;6720;15110;2650;348200;244;45,24101773
17;17;5130;13990;27620;6930;647100;611;46,31572722
18;18;2260;6520;16210;3130;296400;179;45,29103913
19;19;1920;5400;10860;2430;240300;168;46,43996568
20;2,1;1130;3290;6200;2080;162400;138;44,59085382
21;2,2;1400;3700;6400;1800;182300;140;43,80600756
22;21;3480;10380;22530;4220;532900;446;42,08588989
23;22;4990;12240;19570;6790;596200;437;45,12022422
24;23;1030;2730;5710;1170;116300;93;48,67682262
25;24;3510;9610;18770;4000;408400;315;47,58026064
26;25;3640;9280;23730;5040;539400;489;40,86342573
27;26;4080;11380;22760;4810;520600;426;42,47318855
28;27;4740;10990;26980;4950;600700;373;41,14830269
29;28;3280;7970;20120;3610;429400;255;41,78800083
30;29;7240;16560;27960;9200;906600;813;43,69054264
31;30;5930;15120;31750;7030;748500;606;43,44715745
32;31;8410;20820;45010;8750;1400900;1321;39,32667291
33;32;1240;3640;7040;1660;190000;159;46,89194643
